aam a dutch and german measure of liquids varying in different cities being at amsterdam about  wine gallons at antwerp   at hamburg
alcyonium	a genus of fleshy alcyonaria its polyps somewhat resembling flowers with eight fringed rays the term was also formerly used for certain species of sponges
alderman	a senior or superior a person of rank or dignity
aldermanship	the condition position or office of an alderman
alecost	the plant costmary which was formerly much used for flavoring ale
alembic	an apparatus formerly used in distillation usually made of glass or metal it has mostly given place to the retort and worm still
alertness	the quality of being alert or on the alert briskness nimbleness activity
alethoscope	an instrument for viewing pictures by means of a lens so as to present them in their natural proportions and relations
alfalfa	the lucern medicago sativa  so called in california texas etc
alfilaria	the pin grass erodium cicutarium a weed in california
algaroba	the carob a leguminous tree of the mediterranean region also its edible beans or pods called st johns bread
algebra	that branch of mathematics which treats of the relations and properties of quantity by means of letters and other symbols it is applicable to those relations that are true of every kind of magnitude
algol	a fixed star in medusas head in the constellation perseus remarkable for its periodic variation in brightness
algology	the study or science of algae or seaweeds
alguazil	an inferior officer of justice in spain a warrant officer a constable
alidade	the portion of a graduated instrument as a quadrant or astrolabe carrying the sights or telescope and showing the degrees cut off on the arc of the instrument
alienage	the state or legal condition of being an alien
alienor	one who alienates or transfers property to another
alioth	a star in the tail of the great bear the one next the bowl in the dipper
alizarin	a coloring principle chooh found in madder and now produced artificially from anthracene it produces the turkish reds
alkalescency	a tendency to become alkaline or the state of a substance in which alkaline properties begin to be developed or to predominant
alkalimetry	the art or process of ascertaining the strength of alkalies or the quantity present in alkaline mixtures
alkalization	the act rendering alkaline by impregnating with an alkali a conferring of alkaline qualities
alkaloid	an organic base especially one of a class of substances occurring ready formed in the tissues of plants and the bodies of animals
alkermes	a compound cordial in the form of a confection deriving its name from the kermes insect its principal ingredient
allanite	a silicate containing a large amount of cerium it is usually black in color opaque and is related to epidote in form and composition
allantoin	a crystalline transparent colorless substance found in the allantoic liquid of the fetal calf  formerly called allantoic acid and amniotic acid
allayment	an allaying that which allays mitigation
allegorist	one who allegorizes a writer of allegory
allegorizer	one who allegorizes or turns things into allegory an allegorist
allemande	a dance in moderate twofold time invented by the french in the reign of louis xiv  now mostly found in suites of pieces like those of bach and handel
alleviation	the act of alleviating a lightening of weight or severity mitigation relief
alligation	the act of tying together or attaching by some bond or the state of being attached
allocatur	allowed the word allocatur expresses the allowance of a proceeding writ order etc by a court judge or judicial officer
allogamy	fertilization of the pistil of a plant by pollen from another of the same species crossfertilization
allomorph	any one of two or more distinct crystalline forms of the same substance or the substance having such forms  as carbonate of lime occurs in the allomorphs calcite and aragonite
allowableness	the quality of being allowable permissibleness lawfulness exemption from prohibition or impropriety
alloxanate	a combination of alloxanic acid and a base or base or positive radical
alluvion	wash or flow of water against the shore or bank
almagest	the celebrated work of ptolemy of alexandria which contains nearly all that is known of the astronomical observations and theories of the ancients the name was extended to other similar works
almucantar	a small circle of the sphere parallel to the horizon a circle or parallel of altitude two stars which have the same almucantar have the same altitude see almacantar
alnage	measurement of cloth by the ell also a duty for such measurement
aloneness	a state of being alone or without company solitariness
alopecist	a practitioner who tries to prevent or cure baldness
alp	a very high mountain specifically in the plural the highest chain of mountains in europe containing the lofty mountains of switzerland etc
alphabetarian	a learner of the alphabet an abecedarian
alphabetics	the science of representing spoken sounds by letters
alquifou	a lead ore found in cornwall england and used by potters to give a green glaze to their wares potters ore
altarpiece	the painting or piece of sculpture above and behind the altar reredos
alternateness	the quality of being alternate or of following by turns
althea	a genus of plants of the mallow family it includes the officinal marsh mallow and the garden hollyhocks
altimeter	an instrument for taking altitudes as a quadrant sextant etc
altissimo	the part or notes situated above f in alt
alum	a double sulphate formed of aluminium and some other element esp an alkali metal or of aluminium it has twentyfour molecules of water of crystallization
alure	a walk or passage  applied to passages of various kinds
alyssum	a genus of cruciferous plants madwort the sweet alyssum a maritimum cultivated for bouquets bears small white sweetscented flowers
amalgam	an alloy of mercury with another metal or metals as an amalgam of tin bismuth etc
amalgamator	one who or that which amalgamates specifically a machine for separating precious metals from earthy particles by bringing them in contact with a body of mercury with which they form an amalgam
amaranth	an imaginary flower supposed never to fade
amateurism	the practice habit or work of an amateur
amazement	the condition of being amazed bewilderment obs overwhelming wonder as from surprise sudden fear horror or admiration
embassador	a minister of the highest rank sent to a foreign court to represent there his sovereign or country
ambigu	an entertainment at which a medley of dishes is set on at the same time
ambition	the act of going about to solicit or obtain an office or any other object of desire canvassing
ambitus	the exterior edge or border of a thing as the border of a leaf or the outline of a bivalve shell
amblyopy	weakness of sight without and opacity of the cornea or of the interior of the eye the first degree of amaurosis
ambreate	a salt formed by the combination of ambreic acid with a base or positive radical
ambrite	a fossil resin occurring in large masses in new zealand
ambrosin	an early coin struck by the dukes of milan and bearing the figure of st ambrose on horseback
ambsace	double aces the lowest throw of all at dice hence bad luck anything of no account or value
amelioration	the act of ameliorating or the state of being ameliorated making or becoming better improvement melioration
amenability	the quality of being amenable amenableness
amende	a pecuniary punishment or fine a reparation or recantation
amenity	the quality of being pleasant or agreeable whether in respect to situation climate manners or disposition pleasantness civility suavity gentleness
amia	a genus of freshwater ganoid fishes exclusively confined to north america called bowfin in lake champlain dogfish in lake erie and mudfish in south carolina etc see bowfin
amicableness	the quality of being amicable amicability
amidin	start modified by heat so as to become a transparent mass like horn it is soluble in cold water
amine	one of a class of strongly basic substances derived from ammonia by replacement of one or more hydrogen atoms by a basic atom or radical
ammeter	a contraction of amperometer or amperemeter
ammunition	military stores or provisions of all kinds for attack or defense
